run,ARI_vs_reference_subset,silhouette,DBI,CHI
0,0.1640447565539022,0.13693981300753527,2.100774393240688,742.9878753372506
1,0.23542128963510253,0.13403569854521327,2.0489355384755266,733.4393271265556
2,0.1543827527132537,0.13878695693769835,2.088269229137417,726.4522561929706
3,0.15689632052198046,0.13826935041975674,2.0961196550830823,726.2751956281724
4,0.16150486860676697,0.1376534510279424,2.107915904763748,734.0879456250799
5,0.16150339108656916,0.13966211008366577,2.088791816768177,738.7127244687166
6,0.2636293950466813,0.13104181157410297,1.9981533026962623,747.089075437937
7,0.21814066718463712,0.1319112170624626,2.1615362774450246,725.3435519475175
8,0.1656229162833624,0.135736026933905,2.099013924919114,730.3305547668266
9,0.14260067306437965,0.14253135442394949,2.04781252865724,723.4847958003558
10,0.14055815593738538,0.14481987643174565,2.042415254083369,736.1640367453492
11,0.1583341957525565,0.1388800143711942,2.0815168954786882,730.6834323338583
12,0.1638897492551211,0.13961496218838979,2.0968783059093603,744.2069103888786
13,0.23343514017836,0.1319467358395247,2.1583724808979445,728.0661765242896
14,0.1644877711780536,0.13621481082623565,2.1012525138686025,729.2284497793912
15,0.16312502645792895,0.13805697325445715,2.0939780450964665,730.9125633686674
16,0.15957714274222778,0.13819257419962266,2.091145430838306,731.502812982401
17,0.1578572863128745,0.13885167578059343,2.087088762960321,728.1196231239594
18,0.1683463653077363,0.13758899433572325,2.107905757233001,743.8262250428703
19,0.14190742543516258,0.14624919061814223,2.043681576381905,735.2604689264722
