random_state,ARI_vs_reference,silhouette,DBI,CHI
3,0.16230711073357645,0.13762569559317103,2.0979423733103717,859.7823139666058
0,0.16203234189698287,0.13775938857063877,2.0969768226185144,859.7789908230911
42,0.16170738583283828,0.13767491284592742,2.0972240944977623,859.7890396294068
10,0.16154885579368364,0.1376987315559371,2.0974039162532203,859.7834627048948
99,0.16121510267329436,0.13778985104234742,2.096025908437688,859.7884522699054
2,0.16114409731758267,0.13775664103976637,2.0966670432353918,859.7887016892689
1,0.16093769548644762,0.13775129457365454,2.0971355340422995,859.7889673632948
4,0.16086930201264169,0.13779040801993853,2.096403513148188,859.7848632114386
123,0.16086930201264169,0.13779040801993853,2.096403513148188,859.7848632114386
21,0.16071010235808456,0.1378036220536586,2.0967206479781266,859.7875903931673
